city,year,fascia,num_modelli,num_auto,avg_daysonmarket,top3_str
Bay Shore,2016,bassa,3,3,39.0,"front,rear,wheel"
Bronx,2016,media,1,1,19.0,"seats,certified,vehicle"
Bayamon,2019,media,4,16,484.63,"power,rear,front"
Bay Shore,2019,media,1,1,246.0,"front,power,rear"
Bronx,2011,bassa,1,1,6.0,"certified,time,award"
Bronx,2019,media,1,1,20.0,"certified,seats,available"
Bronx,2018,bassa,1,1,21.0,"certified,vehicle,time"
Bay Shore,2017,media,2,2,19.5,"rear,front,power"
Bronx,2018,alta,1,1,20.0,"seats,certified,available"
Bronx,2017,bassa,4,4,54.75,"certified,seats,vehicle"
Guaynabo,2015,alta,1,1,1252.0,"front,wheel,suspension"
Bronx,2017,media,2,5,28.4,"seats,certified,power"
Bronx,2014,bassa,1,1,46.0,"front,radio,steering"
San Juan,2020,alta,5,37,187.03,"pack,rear,wheel"
Bay Shore,2018,media,3,5,40.6,"rear,front,wheel"
Bay Shore,2020,media,1,1,91.0,"rear,seat,front"
Bronx,2018,media,3,3,29.67,"seats,certified,vehicle"
Bay Shore,2015,bassa,2,2,54.0,"front,rear,wheel"
Guaynabo,2016,alta,1,1,1233.0,"rear,front,door"
San Juan,2020,media,1,2,172.0,"pack,protection,cargo"
Guaynabo,2016,media,1,1,1233.0,""
Bronx,2016,bassa,1,1,20.0,"certified,available,vehicle"
Bronx,2013,bassa,1,1,0.0,"additional,info,quick"
Bay Shore,2017,bassa,3,3,62.0,"front,rear,power"
Bronx,2012,media,1,1,22.0,"certified,seats,time"
Bay Shore,2018,bassa,1,2,65.5,"rear,front,power"
Bronx,2020,bassa,1,1,102.0,"certified,vehicle,premium"
