city,year,fascia,num_modelli,num_auto,avg_daysonmarket,top3_str
Abington,2010,bassa,3,3,10.33,"front,rear,type"
Abington,2013,bassa,1,1,25.0,"front,rear,type"
Acton,2015,bassa,2,2,12.5,"power,rear,seat"
Acton,2018,bassa,1,1,6.0,"rear,power,wheel"
Acton,2019,media,2,12,20.42,"rear,power,mirror"
Adrian,2006,bassa,1,1,0.0,"front,door,seat"
Adrian,2007,bassa,3,3,16.33,"front,power,rear"
Adrian,2010,bassa,1,1,0.0,"rear,front,wheel"
Adrian,2014,bassa,5,6,18.67,"front,wheel,rear"
Adrian,2018,media,5,7,43.14,"front,wheel,rear"
Adrian,2019,media,3,4,48.0,"front,wheel,control"
Adrian,2020,alta,7,20,154.55,"rear,front,steering"
Albany,2001,bassa,1,1,68.0,"financing,everyone,apply"
Albany,2013,bassa,11,11,92.55,"front,rear,power"
Albany,2013,media,1,1,90.0,"front,rear,wheel"
Albany,2014,bassa,19,19,89.16,"front,rear,power"
Albany,2015,media,2,2,20.0,"rear,front,steering"
Albany,2016,bassa,10,11,37.91,"power,front,rear"
Albany,2017,alta,1,2,9.5,"front,rear,seat"
Albany,2019,bassa,3,4,10.75,"power,rear,control"
Albany,2020,alta,1,1,11.0,"front,steering,wheel"
Albany,2021,media,6,98,25.34,"power,rear,control"
Ann Arbor,2013,media,1,1,12.0,"front,arbor,vehicle"
Ann Arbor,2020,media,12,111,99.77,"front,rear,control"
Asbury Park,2002,media,1,1,14.0,"steering,wheel,power"
Asbury Park,2007,bassa,1,1,40.0,"front,rear,power"
Asbury Park,2010,bassa,5,5,20.2,"front,rear,wheel"
Asbury Park,2013,bassa,5,5,34.2,"front,wheel,power"
Asbury Park,2016,bassa,11,12,31.42,"front,wheel,steering"
Asbury Park,2016,media,3,3,42.0,"front,power,rear"
Asbury Park,2018,bassa,1,1,70.0,"wheel,front,rear"
Asbury Park,2019,media,4,4,34.75,"front,wheel,steering"
Astoria,2012,bassa,1,1,43.0,"additional,info,daytime"
Astoria,2015,bassa,1,1,21.0,"rear,front,power"
Astoria,2019,bassa,1,1,18.0,"front,rear,power"
Attleboro,2010,bassa,2,2,78.5,"front,rear,type"
Attleboro,2011,bassa,3,3,22.33,"front,rear,type"
Attleboro,2013,bassa,9,9,39.67,"front,rear,type"
Attleboro,2015,media,1,1,11.0,"front,rear,type"
Attleboro,2020,media,8,39,84.95,"wheel,mirrors,driver"
Attleboro,2021,bassa,1,3,34.67,"wheel,rear,mirrors"
Attleboro,2021,media,6,74,15.68,"driver,wheel,mirrors"
Auburn,2005,bassa,1,1,181.0,"power,front,seat"
Auburn,2009,bassa,4,4,44.75,"airbag,here,call"
Auburn,2010,bassa,18,18,118.11,"front,rear,power"
Auburn,2011,bassa,14,16,114.25,"front,rear,power"
Auburn,2014,bassa,8,8,145.5,"rear,front,power"
Auburn,2016,bassa,5,6,106.0,"front,rear,power"
Auburn,2016,media,2,2,21.0,"steering,headlights,power"
Auburn,2019,media,12,16,181.56,"front,wheel,headlights"
Auburn,2020,alta,5,23,169.48,"front,rear,power"
Auburn Hills,2019,bassa,1,1,61.0,"vehicle,call,make"
Avenel,2014,alta,1,1,0.0,"2014,nissan,sentra"
Avenel,2015,alta,1,1,53.0,"front,rear,power"
Avenel,2015,media,3,4,9.5,"rear,front,power"
Barkhamsted,2011,bassa,1,1,14.0,"power,rear,control"
Barkhamsted,2017,media,4,18,59.11,"power,ford,rear"
Barkhamsted,2019,media,6,7,335.86,"engine,ford,rear"
Battle Creek,2012,bassa,6,7,26.29,"front,rear,type"
Battle Creek,2016,bassa,1,1,53.0,"front,rear,type"
Battle Creek,2019,media,1,1,11.0,"front,type,rear"
Bay Shore,2003,bassa,1,1,84.0,"rear,driver,wheel"
Bay Shore,2004,bassa,1,1,2.0,"front,seat,power"
Bay Shore,2009,bassa,2,2,8.0,"front,rear,wheel"
Bay Shore,2010,bassa,2,2,12.0,"front,rear,control"
Bay Shore,2014,bassa,10,12,37.67,"rear,front,power"
Bay Shore,2016,alta,1,1,17.0,"rear,front,power"
Bay Shore,2016,media,8,14,64.36,"rear,front,power"
Bay Shore,2017,media,28,78,32.91,"rear,front,power"
Bay Shore,2019,alta,5,7,363.0,"rear,front,power"
Bay Shore,2020,alta,10,34,92.26,"rear,front,2020"
Bayonne,2006,bassa,1,1,1.0,"power,control,wheel"
Bayonne,2007,bassa,1,1,25.0,"front,rear,type"
Bayonne,2013,bassa,1,1,20.0,"front,rear,type"
Bayonne,2017,media,2,2,75.5,"rear,front,type"
Bayonne,2018,bassa,3,3,33.67,"front,rear,type"
Bedford,2008,bassa,1,1,46.0,"front,steering,wheel"
Bedford,2017,bassa,3,6,27.83,"certified,radio,minuteman"
Bedford,2020,bassa,1,3,28.0,"radio,2020,price"
Bedford,2020,media,8,57,93.09,"radio,front,rear"
Belford,2007,bassa,1,1,11.0,"vehicle,finance,used"
Belford,2018,bassa,16,16,32.06,"pricing,vehicle,internet"
Bellerose,2016,media,2,2,48.0,"unleaded,engine,powering"
Bellerose,2017,alta,2,2,29.0,"twin,dependable,turbo"
Bellerose,2017,media,8,29,38.0,"power,mirror,rear"
Bellerose,2018,bassa,1,1,5.0,"power,seat,rear"
Belleville,2010,bassa,2,2,7.0,"vehicle,steering,sales"
Belleville,2012,bassa,1,1,12.0,"power,vehicle,steering"
Belleville,2013,bassa,2,2,7.5,"vehicle,power,sales"
Bellingham,1999,bassa,2,2,20.5,"front,power,steering"
Berlin,2008,bassa,1,1,36.0,"front,rear,passenger"
Berlin,2009,bassa,1,1,26.0,"ranger,price,2009"
Berlin,2017,bassa,6,10,39.5,"front,rear,power"
Bethpage,2000,bassa,1,1,6.0,"just,still,like"
Birmingham,2020,alta,1,5,175.6,"interior,power,leather"
Blauvelt,2001,bassa,1,1,279.0,"available,door,drive"
Blauvelt,2005,media,1,1,61.0,"diesel,engine,transmission"
Blauvelt,2007,bassa,4,8,81.25,"power,brakes,steering"
Bloomfield,2004,bassa,1,1,17.0,"condition,front,type"
Bloomfield,2008,bassa,2,2,48.5,"front,rear,type"
Bloomfield,2009,bassa,2,2,106.0,"front,rear,type"
Bloomfield,2015,bassa,3,4,185.5,"front,rear,comma"
Bloomfield,2016,bassa,5,5,125.6,"comma,front,rear"
Bloomfield,2016,media,1,2,24.0,"front,rear,comma"
Bloomfield,2017,media,1,1,35.0,"front,passenger,driver"
Bloomfield Hills,1999,bassa,2,2,35.0,"front,power,steering"
Bloomfield Hills,2002,bassa,1,1,68.0,"front,rear,door"
Bloomfield Hills,2010,bassa,5,6,43.83,"front,rear,steering"
Bloomfield Hills,2013,bassa,3,3,39.0,"front,rear,power"
Bloomfield Hills,2014,media,1,1,13.0,"front,power,steering"
Bloomfield Hills,2017,alta,4,6,29.83,"front,rear,power"
Bloomfield Hills,2017,bassa,11,33,59.06,"front,wheel,rear"
Bloomfield Hills,2017,media,15,68,52.85,"front,wheel,steering"
Bloomfield Hills,2018,media,15,31,43.68,"front,rear,power"
Bloomfield Hills,2019,alta,1,1,81.0,"steering,wheel,front"
Bloomingdale,2003,bassa,4,4,47.75,"front,power,rear"
Bloomingdale,2007,bassa,5,5,42.2,"front,rear,type"
Bloomingdale,2008,bassa,7,7,37.0,"front,rear,type"
Bloomingdale,2013,bassa,6,6,31.67,"front,rear,type"
Bloomingdale,2018,media,2,2,16.5,"rear,front,color"
Bloomingdale,2020,media,7,7,15.14,"front,rear,type"
Bohemia,2015,bassa,6,6,47.67,"front,rear,2015"
Bohemia,2021,media,6,84,27.85,"front,rear,2021"
Bound Brook,2003,bassa,2,2,36.0,"front,power,side"
Bound Brook,2007,bassa,3,3,14.33,"front,rear,type"
Braintree,2014,bassa,3,3,32.33,"front,rear,type"
Branford,2007,bassa,2,2,29.0,"power,vehicle,steering"
Branford,2010,bassa,1,1,25.0,"vehicle,steering,airbag"
Branford,2016,bassa,9,9,80.78,"power,steering,rear"
Branford,2018,bassa,3,3,39.67,"power,sound,driver"
Branford,2019,bassa,2,2,43.5,"power,steering,rear"
Branford,2019,media,8,9,19.0,"power,driver,rear"
Branford,2020,media,1,1,27.0,"power,steering,rear"
Brewster,2018,media,4,8,18.63,"front,system,rear"
Brewster,2019,bassa,1,1,52.0,"wheel,front,2019"
Brick,2005,bassa,8,8,57.63,"front,power,wheel"
Brick,2006,bassa,6,6,100.5,"front,rear,seat"
Brick,2008,media,1,1,18.0,"front,type,rear"
Brick,2011,media,1,1,13.0,"front,rear,wheel"
Brick,2014,media,1,1,29.0,"front,type,rear"
Brick,2018,media,7,15,70.87,"power,rear,passenger"
Bridgeport,2005,bassa,3,3,50.67,"power,county,wheel"
Bridgeport,2013,media,1,1,19.0,"wheel,rear,system"
Bridgeport,2015,media,5,5,43.0,"wheel,rear,driver"
Bridgeport,2018,alta,2,5,23.6,"rear,wheel,package"
Bridgeport,2019,media,15,16,23.81,"driver,power,wheel"
Bridgewater,1997,bassa,1,1,52.0,"power,front,windows"
Bridgewater,2002,bassa,1,1,3.0,"power,heated,rear"
Bridgewater,2004,media,2,2,25.5,"power,front,seat"
Bridgewater,2007,media,1,1,35.0,"front,power,suspension"
Bridgewater,2013,bassa,10,10,16.4,"front,rear,power"
Bridgewater,2018,bassa,4,6,29.67,"wheel,rear,driver"
Bridgewater,2018,media,26,75,43.03,"front,rear,power"
Brighton,2014,bassa,1,1,22.0,"vehicle,call,navigation"
Brighton,2017,media,3,4,23.25,"vehicle,warranty,call"
Brighton,2018,bassa,1,1,49.0,"vehicle,black,warranty"
Brighton,2020,media,9,54,80.2,"front,rear,power"
Bristol,2008,bassa,3,3,43.0,"front,rear,wheel"
Bristol,2008,media,1,1,28.0,"rear,models,driver"
Bristol,2010,bassa,5,7,37.71,"front,rear,wheel"
Bristol,2013,bassa,17,18,35.89,"front,rear,wheel"
Bristol,2015,media,2,2,19.0,"front,power,rear"
Bristol,2017,bassa,19,36,32.97,"front,rear,2017"
Bristol,2019,media,5,5,39.2,"rear,2019,front"
Bristol,2020,alta,8,23,94.17,"2020,dealer,details"
Brockton,2018,bassa,8,16,27.13,"power,rear,control"
Brockton,2018,media,4,6,22.67,"power,rear,wheel"
Brockton,2020,bassa,4,25,158.32,"nissan,rear,power"
Bronx,1999,bassa,1,1,10.0,"rear,front,wheel"
Bronx,2008,bassa,4,4,29.75,"rear,front,system"
Bronx,2012,bassa,11,11,48.91,"front,rear,seat"
Bronx,2015,bassa,20,22,34.59,"front,rear,power"
Bronx,2015,media,10,10,74.3,"power,front,seat"
Bronx,2018,alta,7,8,96.63,"power,rear,front"
Bronx,2018,bassa,20,39,45.9,"front,rear,power"
Bronx,2019,media,26,58,79.24,"rear,power,front"
Bronx,2021,alta,1,11,5.0,"additional,info,quick"
Brooklyn,2003,bassa,5,5,188.0,"rear,front,wheel"
Brooklyn,2004,bassa,8,9,191.67,"front,rear,wheel"
Brooklyn,2006,media,1,1,6.0,"rear,front,seat"
Brooklyn,2015,bassa,33,41,75.39,"front,rear,power"
Brooklyn,2018,alta,3,3,36.33,"power,rear,front"
Brooklyn,2019,media,32,68,274.38,"front,rear,power"
Brooklyn,2020,media,41,360,127.9,"front,2020,rear"
Brooklyn,2021,alta,5,11,24.27,"front,power,rear"
Cambridge,2017,media,2,8,23.0,"front,rear,power"
Cambridge,2018,media,2,2,20.0,"front,rear,control"
Cambridge,2019,media,2,3,286.67,"front,power,rear"
Cambridge,2021,media,2,7,40.57,"front,rear,system"
Canton,1997,bassa,1,1,14.0,"power,wheel,owner"
Canton,2011,media,1,1,0.0,"below,rear,seats"
Canton,2017,bassa,21,26,40.31,"front,rear,wheel"
Canton,2019,bassa,8,12,75.33,"radio,vehicle,awards"
Canton,2020,bassa,2,4,93.25,"front,rear,steering"
Carlstadt,2011,bassa,2,2,121.0,"front,rear,door"
Carlstadt,2014,bassa,4,4,91.25,"front,rear,power"
Carmel,2011,bassa,1,1,45.0,"front,rear,type"
Carmel,2015,bassa,1,1,11.0,"front,rear,type"
Catskill,2017,bassa,6,12,26.92,"carfax,seat,speed"
Catskill,2018,media,6,9,43.22,"front,rear,power"
Catskill,2019,alta,1,1,21.0,"power,front,seat"
Cedar Springs,2018,media,1,1,26.0,"front,system,chrome"
Center Line,2006,bassa,1,1,19.0,"includes,front,rear"
Center Line,2010,bassa,2,2,24.0,"front,rear,2009"
Center Line,2017,bassa,10,20,41.25,"rear,front,power"
Cheshire,2009,bassa,1,1,3.0,"front,buyer,only"
Cheshire,2011,bassa,5,5,18.8,"front,rear,power"
Cheshire,2012,bassa,2,2,7.5,"front,steering,wheel"
Cheshire,2016,media,3,3,14.67,"rear,front,power"
Cheshire,2019,alta,1,1,30.0,"front,power,rear"
Cheshire,2021,alta,3,16,25.06,"rear,front,power"
Clarkston,2008,bassa,5,5,20.6,"front,auto,bowman"
Clarkston,2015,media,1,2,13.0,"silverado,system,radio"
Clarkston,2017,bassa,3,3,25.0,"front,radio,power"
Clarkston,2018,media,2,2,20.0,"rear,auto,driver"
Clifton,2015,bassa,1,1,4.0,"seat,front,power"
Clifton,2017,bassa,6,11,17.09,"2017,rear,power"
Clifton,2018,bassa,5,5,25.8,"power,rear,wheel"
Clinton Township,2003,bassa,1,1,15.0,"front,rear,power"
Clinton Township,2004,bassa,2,2,11.5,"front,rear,steering"
Clinton Township,2005,bassa,1,1,12.0,"front,rear,power"
Clinton Township,2006,bassa,1,1,8.0,"front,wheel,steering"
Clinton Township,2007,bassa,1,1,14.0,"manual,front,door"
Clinton Township,2014,bassa,13,15,21.73,"front,rear,power"
Clinton Township,2015,bassa,8,8,17.0,"front,rear,power"
Clinton Township,2018,alta,3,3,20.0,"power,seat,rear"
Clinton Township,2018,media,17,57,39.11,"front,rear,power"
Clinton Township,2019,media,21,48,74.13,"rear,power,front"
Coldwater,2015,media,1,1,50.0,"deliver,door,floor"
Coldwater,2017,media,17,30,40.2,"front,rear,power"
Coldwater,2019,bassa,3,5,49.6,"power,heated,passenger"
Colonia,2014,media,1,1,26.0,"front,rear,color"
Colonia,2015,bassa,2,2,24.0,"rear,power,wheel"
Colonia,2017,bassa,12,15,54.8,"front,rear,type"
Colonia,2017,media,17,29,29.93,"rear,front,type"
Colonia,2018,bassa,2,4,12.25,"rear,front,power"
Colonia,2019,media,7,11,456.09,"rear,power,front"
Colonia,2020,media,11,142,166.94,"power,rear,wheel"
Concord,2010,bassa,1,1,48.0,"front,steering,speed"
Concord,2013,bassa,3,3,9.67,"front,guarantee,back"
Concord,2016,alta,1,1,6.0,"front,rear,power"
Concord,2017,media,13,20,34.4,"rear,front,power"
Concord,2020,alta,10,26,166.12,"rear,front,power"
Concord,2020,media,22,239,128.16,"rear,front,power"
Copiague,2009,bassa,2,2,44.0,"rear,front,control"
Copiague,2011,bassa,2,2,28.5,"rear,front,door"
Copiague,2012,bassa,2,2,21.5,"2012,power,wheel"
Copiague,2015,media,4,4,262.75,"rear,power,front"
Copiague,2016,bassa,8,10,117.7,"front,power,rear"
Copiague,2017,media,11,14,104.93,"front,rear,power"
Copiague,2018,bassa,3,3,79.33,"rear,wheel,control"
Cortlandt Manor,2020,alta,2,3,123.0,"power,control,wheel"
Cortlandt Manor,2020,media,12,46,75.43,"power,rear,control"
Coventry,2011,bassa,1,1,12.0,"power,front,steering"
Coventry,2012,bassa,1,1,52.0,"steering,airbag,front"
Coventry,2018,alta,1,1,166.0,"power,sport,control"
Cranbury,2018,alta,1,1,67.0,"seats,engine,luxury"
Cranbury,2018,bassa,2,5,28.2,"system,ipod,input"
Cranbury,2019,media,6,19,25.84,"radio,camera,system"
Cranbury,2020,alta,5,26,71.85,"seat,heated,camera"
Cranston,2010,bassa,2,3,51.67,"vehicle,power,control"
Cranston,2013,bassa,7,7,151.14,"vehicle,power,control"
Cranston,2015,bassa,1,1,159.0,"vehicle,power,bags"
Croton-On-Hudson,2012,bassa,1,1,33.0,"includes,front,trailering"
Croton-On-Hudson,2013,media,1,1,29.0,"cooler,power,system"
Croton-On-Hudson,2015,media,2,2,19.5,"power,rear,mirror"
Croton-On-Hudson,2016,bassa,3,4,44.75,"power,rear,wheel"
Croton-On-Hudson,2018,bassa,1,1,10.0,"power,rear,mirror"
Croton-On-Hudson,2018,media,6,9,32.44,"siriusxm,year,transmission"
Cumberland,2002,bassa,1,1,115.0,"power,front,altima"
Cumberland,2010,bassa,4,4,57.25,"front,rear,type"
Cumberland,2012,bassa,4,4,45.5,"front,rear,type"
Danbury,2011,media,1,1,22.0,"wheel,mirror,system"
Danbury,2014,bassa,17,20,60.35,"wheel,rear,power"
Danbury,2014,media,3,3,45.67,"power,wheel,rear"
Danbury,2015,bassa,8,8,47.63,"wheel,steering,power"
Danbury,2016,media,15,17,14.82,"wheel,power,rear"
Danbury,2017,media,28,66,26.58,"power,wheel,steering"
Danbury,2019,alta,8,16,307.06,"power,wheel,system"
Danvers,2013,bassa,2,2,17.0,"front,system,rear"
Danvers,2014,bassa,6,7,28.29,"front,rear,power"
Danvers,2017,bassa,33,96,27.5,"power,rear,control"
Danvers,2019,alta,1,1,564.0,"volvo,system,navigation"
Darien,2015,media,1,1,19.0,"rear,wheel,mirror"
Dartmouth,2014,media,3,3,13.67,"system,wheel,driver"
Dartmouth,2019,media,9,29,273.9,"rear,power,driver"
Davison,2019,bassa,1,1,46.0,"recent,arrival,blow"
Dedham,2007,bassa,1,1,18.0,"front,rear,type"
Deer Park,2008,bassa,2,2,54.5,"front,rear,wheel"
Deer Park,2012,bassa,2,2,61.5,"rear,front,wheel"
Deer Park,2013,bassa,2,4,48.75,"rear,front,wheel"
Deer Park,2015,bassa,5,5,68.4,"front,rear,power"
Deer Park,2015,media,1,1,90.0,"power,rear,driver"
Deer Park,2018,bassa,4,4,63.5,"rear,front,power"
Derby,2015,bassa,2,2,211.5,"front,rear,power"
Derby,2017,media,13,18,117.89,"front,rear,wheel"
Derby,2018,bassa,10,16,243.5,"front,rear,wheel"
Derby,2018,media,6,6,226.83,"front,rear,wheel"
Derry,1998,bassa,1,1,5.0,"power,front,windows"
Derry,2008,bassa,5,5,17.2,"front,rear,type"
Derry,2009,bassa,2,2,2.0,"front,rear,type"
Derry,2010,bassa,3,3,39.0,"front,rear,type"
Derry,2013,bassa,1,1,25.0,"front,rear,type"
Derry,2016,media,1,1,1346.0,"front,rear,type"
Detroit,2001,bassa,1,1,136.0,"power,wheel,conditioning"
Detroit,2003,bassa,1,1,193.0,"power,wheel,additional"
Detroit,2005,bassa,1,1,34.0,"power,wheel,additional"
Detroit,2009,bassa,4,5,129.4,"power,control,wheel"
Detroit,2014,alta,1,1,307.0,"power,airbag,seat"
Detroit,2014,media,1,1,3.0,"rear,front,type"
Detroit,2016,bassa,8,9,105.78,"power,front,rear"
Detroit,2017,bassa,4,6,21.17,"front,rear,power"
Detroit,2021,alta,1,4,53.5,""
Detroit,2021,media,4,8,24.25,""
Douglaston,2014,bassa,1,1,4.0,"front,rear,system"
Douglaston,2015,media,1,1,0.0,"rear,power,front"
Douglaston,2019,bassa,2,2,32.0,"front,passenger,rear"
Douglaston,2020,alta,3,4,27.5,"power,mirrors,wheel"
Douglaston,2020,media,7,72,14.46,"package,chevrolet,driver"
Dover,2008,bassa,4,4,44.0,"front,rear,type"
Dover,2011,bassa,3,3,38.0,"front,rear,type"
Dover,2016,bassa,1,1,33.0,"front,rear,type"
Dudley,2013,bassa,3,3,15.67,"front,wheel,rear"
Dudley,2014,bassa,3,3,31.33,"2014,steering,wheel"
Dudley,2017,bassa,5,5,20.6,"pricing,vehicles,mcgee"
Dudley,2017,media,2,2,38.5,"front,rear,steering"
Dudley,2018,alta,1,1,11.0,"wheel,steering,front"
Dudley,2018,bassa,10,12,55.58,"front,pricing,vehicles"
Dudley,2019,alta,1,1,103.0,"front,rear,steering"
Dudley,2019,bassa,16,27,49.74,"front,pricing,vehicles"
Dudley,2019,media,26,38,55.53,"front,rear,power"
Dudley,2021,alta,1,1,27.0,"front,wheel,door"
East Brookfield,2011,bassa,1,1,42.0,"front,rear,seat"
East Brookfield,2018,media,5,5,31.4,"front,rear,power"
East Brunswick,2010,bassa,3,4,241.0,"power,wheel,inspection"
East Brunswick,2012,bassa,2,2,40.0,"power,wheel,satellite"
East Greenwich,2010,bassa,1,1,53.0,"power,wheel,speed"
East Greenwich,2011,bassa,2,2,41.0,"power,wheel,heated"
East Greenwich,2014,media,1,1,6.0,"additional,info,doors"
East Greenwich,2016,media,7,9,38.78,"power,wheel,remote"
East Greenwich,2018,bassa,3,8,31.88,"power,wheel,steering"
East Greenwich,2018,media,13,28,22.54,"power,wheel,control"
East Hartford,2009,bassa,3,3,33.67,"power,rear,wheel"
East Hartford,2011,bassa,6,7,42.14,"front,rear,wheel"
East Hartford,2012,bassa,10,10,24.8,"front,power,rear"
East Hartford,2012,media,2,2,7.5,"power,mirrors,front"
East Hartford,2016,bassa,13,27,35.0,"front,rear,power"
East Hartford,2018,alta,1,1,12.0,"power,black,rear"
East Meadow,2017,bassa,14,22,63.82,"vehicle,vehicles,available"
East Meadow,2018,media,5,6,28.0,"vehicle,vehicles,certified"
East Patchogue,2004,bassa,3,3,6.33,"power,passenger,rear"
East Patchogue,2007,bassa,4,4,18.5,"power,mirror,rear"
East Patchogue,2008,bassa,6,6,24.33,"power,wheel,rear"
East Patchogue,2009,bassa,3,3,12.33,"power,front,wheel"
East Providence,2017,media,13,24,21.71,"power,rear,wheel"
East Providence,2019,media,3,4,322.25,"power,wheel,rear"
East Windsor,2000,alta,1,1,31.0,"rear,wheel,front"
East Windsor,2011,media,2,2,35.0,"front,rear,seat"
East Windsor,2015,bassa,11,11,52.18,"rear,front,power"
Eastpointe,1991,bassa,1,1,34.0,"credit,customers,good"
Eastpointe,2012,bassa,6,6,41.83,"credit,customers,power"
Eastpointe,2015,bassa,4,4,35.75,"credit,customers,side"
Eatontown,2004,bassa,1,1,28.0,"power,front,control"
Eatontown,2017,alta,3,3,12.67,"power,rear,front"
Elizabeth,2011,bassa,1,1,573.0,"power,front,airbag"
Elizabeth,2015,bassa,8,8,107.5,"power,steering,seat"
