city,year,fascia,num_modelli,num_auto,avg_daysonmarket,top3_str
Battle Creek,2008,bassa,1,2,28.5,"front,rear,type"
Battle Creek,2017,bassa,1,1,27.0,"front,rear,color"
Bay Shore,2005,bassa,1,1,16.0,"front,power,wheel"
Bay Shore,2011,bassa,1,1,6.0,"front,rear,wheel"
Bay Shore,2013,bassa,2,2,8.0,"front,rear,wheel"
Bay Shore,2016,bassa,6,6,29.5,"front,rear,wheel"
Bay Shore,2019,media,14,31,49.45,"front,rear,power"
Bayamon,2019,media,5,26,473.5,"power,rear,mirror"
Bohemia,2010,bassa,1,1,32.0,"2010,package,year"
Bohemia,2011,bassa,2,2,22.5,"front,wheel,steering"
Bohemia,2012,bassa,3,4,34.25,"front,steering,wheel"
Bohemia,2013,bassa,4,4,158.75,"front,wheel,steering"
Bohemia,2014,bassa,6,6,32.17,"front,power,2014"
Bohemia,2014,media,4,4,109.25,"front,power,wheel"
Bohemia,2017,media,18,27,41.89,"front,rear,power"
Bohemia,2018,media,10,11,33.73,"front,rear,power"
Bohemia,2019,media,16,21,86.81,"front,rear,wheel"
Bronx,2003,bassa,1,1,8.0,"front,power,steering"
Bronx,2006,bassa,1,1,18.0,"type,front,rear"
Bronx,2011,bassa,2,2,12.5,"certified,time,award"
Bronx,2016,alta,1,1,290.0,"power,front,rear"
Bronx,2016,media,8,8,90.88,"power,rear,front"
Bronx,2017,alta,1,1,7.0,"power,rear,front"
Bronx,2019,bassa,4,6,25.33,"power,rear,front"
Center Line,2018,alta,1,1,494.0,""
Clinton Township,2017,bassa,1,2,40.0,"used,time,today"
Coldwater,2013,bassa,1,1,28.0,"sparkles,miser,does"
Coldwater,2019,alta,1,1,4.0,"plus,package,road"
Coldwater,2019,media,2,2,159.5,"power,wheel,heated"
Coldwater,2020,alta,4,4,120.25,"system,rear,power"
Coldwater,2020,media,7,13,100.92,"rear,control,power"
Coldwater,2021,alta,1,1,39.0,""
Copiague,2007,bassa,1,1,21.0,"front,rear,seat"
Copiague,2014,bassa,1,1,6.0,"front,rear,manual"
Croton-On-Hudson,2016,media,2,2,7.0,"power,rear,mirror"
Detroit,2010,bassa,1,1,95.0,"rear,front,type"
Detroit,2014,bassa,1,1,15.0,"rear,front,type"
Detroit,2017,alta,2,2,24.5,"front,rear,steering"
Detroit,2018,alta,1,1,7.0,"rear,front,color"
Detroit,2019,bassa,2,2,27.0,"front,rear,type"
East Hartford,2007,bassa,1,1,5.0,"front,rear,power"
East Hartford,2008,bassa,1,1,7.0,"front,power,system"
East Hartford,2013,bassa,8,8,23.5,"front,power,rear"
East Hartford,2015,bassa,6,6,19.17,"front,power,rear"
East Hartford,2015,media,1,1,13.0,"front,group,steering"
East Hartford,2019,media,6,6,278.0,"power,front,rear"
East Hartford,2020,bassa,2,4,92.5,"2020,cash,bonus"
East Hartford,2020,media,15,137,124.18,"2020,cash,bonus"
East Hartford,2021,media,4,26,7.85,"power,2021,2020"
East Meadow,2014,bassa,2,2,23.5,"front,wheel,steering"
East Meadow,2016,bassa,3,3,90.67,"certified,vehicle,vehicles"
East Meadow,2018,bassa,6,10,100.4,"certified,vehicle,warranty"
East Windsor,2007,bassa,3,3,49.0,"rear,front,wheel"
East Windsor,2009,bassa,2,2,22.0,"front,rear,seat"
East Windsor,2014,bassa,7,7,61.71,"rear,front,power"
East Windsor,2015,alta,1,1,22.0,"pickup,driver,front"
Elmont,2016,media,3,3,233.67,"vehicle,power,fees"
Elmont,2018,media,1,1,14.0,"vehicle,power,seat"
Great Neck,2005,bassa,1,1,16.0,"power,control,rear"
