city,year,fascia,num_modelli,num_auto,avg_daysonmarket,top3_str
- 2wd,,bassa,0,1,,""
"- Mac 2.5\"\" exhaust system with 3\"\" tips",,bassa,0,1,,""
- Quattro ALL-Wheel Drive system,,bassa,0,1,,""
- Remote Start and dual memory seats,,bassa,0,1,,""
-Oil changes 5k Intervals since ownership. 45k,,bassa,0,1,,""
-including 1 set of summer & winter tires. Each with 1 season left,,bassa,0,1,,""
12V Rear And 12V Cargo Area Power Outlet(S),,bassa,0,1,,""
Aberdeen,2010,bassa,5,5,43.0,"power,rear,control"
Aberdeen,2011,bassa,4,4,48.75,"power,control,wheel"
Aberdeen,2014,bassa,13,13,44.08,"power,control,wheel"
Aberdeen,2015,media,4,5,55.2,"rear,power,mirrors"
Abington,2011,media,2,2,183.0,"power,wheel,additional"
Accident,2019,bassa,8,12,62.08,"comma,front,rear"
Acton,2013,media,1,1,0.0,"aluminum,wheels,owner"
Adamsburg,2014,bassa,3,3,17.67,"front,deliver,door"
Adamsburg,2017,media,2,10,36.7,"deliver,ford,carfax"
Adamsburg,2019,media,1,1,40.0,"rear,front,door"
Adamsburg,2020,alta,4,16,127.13,"2020,automatic,speed"
Adamsburg,2020,bassa,1,12,192.25,"front,rear,wheel"
Advance,2014,bassa,8,8,95.38,"front,rear,driver"
Agawam,2017,bassa,4,9,151.67,"front,rear,power"
Agawam,2017,media,16,25,77.52,"rear,front,power"
Agawam,2019,alta,4,30,148.3,"ford,front,rear"
Agawam,2020,media,21,164,152.04,"rear,front,ford"
Akron,2002,media,2,2,23.0,"front,wheel,power"
Albany,2005,bassa,1,1,57.0,"power,driver,steering"
Albany,2007,bassa,3,3,105.0,"front,power,rear"
Albany,2009,bassa,9,10,70.7,"front,rear,type"
Albemarle,2013,media,1,1,9.0,"road,rear,rocky"
Albemarle,2017,media,23,48,36.73,"rear,power,front"
Albuquerque,2012,bassa,2,2,60.0,"front,wheel,rear"
Alcoa,2019,bassa,11,17,38.06,"front,power,rear"
Alexandria,2002,bassa,4,4,17.75,"power,front,rear"
Algonquin,2018,bassa,7,11,21.0,"power,rear,mirror"
All-weather Black rubber floor mats w/ Q7 logo (set of 4),,bassa,0,1,,""
Allendale,2016,bassa,2,2,27.0,"power,wheel,heated"
Allentown,2009,bassa,18,19,25.79,"front,rear,type"
Alliance,2008,media,1,1,0.0,"front,power,seat"
Alpena,2005,bassa,2,2,39.0,""
Alpena,2021,alta,2,4,18.0,"2021,yukon,speed"
Altavista,2013,bassa,1,1,61.0,"front,system,seats"
Altavista,2016,media,2,2,29.0,"clean,carfax,aluminum"
Altoona,2009,bassa,3,3,20.33,"front,rear,suspension"
Altoona,2016,media,9,10,26.0,"front,rear,power"
Amherst,2019,bassa,22,52,48.75,"power,rear,front"
Amherst,2020,bassa,10,28,197.57,"front,seat,system"
Amsterdam,2020,media,12,33,47.21,"front,wheel,rear"
Ann Arbor,2015,bassa,1,1,5.0,"sync,escape,lafontaine"
Annapolis,2006,bassa,1,1,27.0,"repairs,fixer,upper"
Annapolis,2011,media,1,1,0.0,"rear,front,lexus"
Anson,2017,bassa,1,1,40.0,"2017,compact,cars"
Ansonia,2003,bassa,4,4,259.75,"certified,carfax,state"
Ansonia,2005,media,3,3,45.67,"certified,carfax,state"
Ansonia,2006,bassa,9,10,270.5,"certified,carfax,state"
Ansonia,2008,media,2,2,196.5,"certified,maintenance,carfax"
Ansonia,2011,bassa,21,24,150.38,"certified,carfax,2011"
Antioch,2018,media,18,41,67.68,"rear,front,power"
Apex,2016,bassa,24,26,36.31,"front,rear,power"
Archbald,2021,media,1,1,64.0,"comes,heated,year"
Ardmore,2012,bassa,5,5,17.0,"2012,speed,automatic"
