city,year,fascia,num_modelli,num_auto,avg_daysonmarket,top3_str
Bay Shore,2008,bassa,2,2,5.5,"front,rear,seat"
Bay Shore,2010,bassa,1,1,12.0,"front,power,rear"
Bay Shore,2012,bassa,4,4,9.5,"front,rear,power"
Bay Shore,2012,media,1,1,2.0,"front,rear,power"
Bay Shore,2013,bassa,2,2,8.0,"front,rear,wheel"
Bay Shore,2013,media,1,1,6.0,"front,wheel,steering"
Bay Shore,2014,bassa,4,4,27.5,"front,rear,system"
Bay Shore,2014,media,1,1,7.0,"front,rear,power"
Bay Shore,2015,bassa,7,7,27.57,"front,rear,system"
Bay Shore,2015,media,1,1,7.0,"rear,front,power"
Bay Shore,2016,bassa,6,6,29.5,"front,rear,wheel"
Bay Shore,2016,media,4,8,67.25,"front,rear,power"
Bay Shore,2017,bassa,11,22,32.82,"front,rear,wheel"
Bay Shore,2017,media,16,51,30.78,"rear,front,power"
Bay Shore,2018,alta,1,1,257.0,"rear,front,steering"
Bay Shore,2018,bassa,6,11,36.0,"front,rear,seat"
Bay Shore,2018,media,9,29,28.07,"front,rear,power"
Bay Shore,2019,alta,3,3,129.33,"rear,front,power"
Bay Shore,2019,bassa,3,4,57.75,"front,rear,system"
Bay Shore,2019,media,13,29,42.97,"front,rear,power"
Bay Shore,2020,alta,5,6,31.0,"rear,front,power"
Bay Shore,2020,media,7,34,96.85,"front,rear,chevrolet"
Bayamon,2018,media,1,2,473.0,"seat,power,rear"
Bayamon,2019,alta,2,2,473.0,"power,seat,rear"
Bayamon,2019,media,5,26,473.5,"power,rear,mirror"
Bayamon,2020,media,1,2,212.5,"power,rear,control"
Bohemia,2009,bassa,2,2,39.5,"front,rear,steering"
Bohemia,2011,bassa,1,1,20.0,"front,wheel,power"
Bohemia,2012,bassa,1,1,17.0,"front,package,power"
Bohemia,2012,media,1,1,13.0,"steering,wheel,power"
Bohemia,2013,bassa,2,2,295.0,"front,2013,rear"
Bohemia,2013,media,3,3,61.67,"front,power,steering"
Bohemia,2014,bassa,4,4,33.5,"front,power,2014"
Bohemia,2014,media,2,2,166.5,"front,power,steering"
Bohemia,2015,bassa,6,6,47.67,"front,rear,2015"
Bohemia,2015,media,4,4,58.25,"front,rear,power"
Bohemia,2016,bassa,5,5,66.2,"front,2016,rear"
Bohemia,2016,media,5,5,97.8,"front,steering,wheel"
Bohemia,2017,bassa,8,10,50.9,"front,rear,wheel"
Bohemia,2017,media,10,12,48.67,"front,rear,power"
Bohemia,2018,bassa,8,10,33.3,"front,steering,wheel"
Bohemia,2018,media,8,9,17.67,"front,rear,power"
Bohemia,2019,bassa,4,6,337.67,"front,wheel,steering"
